,国内株式,国内債券,国内リート,先進国株式,新興国株式,先進国債券,新興国債券,先進国リート,ポートフォリオ,日付
0,29999.0,30000.0,192901.0,627099.0,29999.0,30000.0,29999.0,29999.0,999996.0,2018-01-04
1,30265.0,29991.0,193275.0,632072.0,30212.0,30129.0,30174.0,29643.0,1005761.0,2018-01-05
2,30408.0,29965.0,195533.0,638097.0,30662.0,30106.0,30235.0,29868.0,1014874.0,2018-01-09
3,30454.0,29921.0,195667.0,634862.0,30418.0,29772.0,29972.0,29389.0,1010455.0,2018-01-10
4,30388.0,29946.0,196362.0,628433.0,29997.0,29521.0,29689.0,28820.0,1003156.0,2018-01-11
5,30197.0,29953.0,196362.0,631061.0,29952.0,29576.0,29830.0,28687.0,1005618.0,2018-01-12
6,30320.0,29951.0,198473.0,634175.0,30137.0,29677.0,29907.0,28472.0,1011112.0,2018-01-15
7,30486.0,29944.0,198513.0,634943.0,30116.0,29751.0,29963.0,28472.0,1012188.0,2018-01-16
8,30431.0,29937.0,200438.0,631102.0,30198.0,29709.0,29877.0,28406.0,1010098.0,2018-01-17
9,30207.0,29933.0,202482.0,639068.0,30567.0,29816.0,30059.0,28787.0,1020919.0,2018-01-18
10,30413.0,29949.0,201734.0,637936.0,30638.0,29795.0,30165.0,28512.0,1019142.0,2018-01-19
11,30447.0,29953.0,202469.0,638825.0,30689.0,29693.0,30040.0,28528.0,1020644.0,2018-01-22
12,30755.0,29967.0,203150.0,644567.0,30896.0,29797.0,30115.0,28813.0,1028060.0,2018-01-23
13,30596.0,29956.0,204794.0,642182.0,31007.0,29675.0,29959.0,28944.0,1027113.0,2018-01-24
14,30328.0,29944.0,204032.0,638259.0,31041.0,29585.0,30089.0,28683.0,1021961.0,2018-01-25
15,30245.0,29967.0,203083.0,638906.0,31086.0,29659.0,30209.0,28672.0,1021827.0,2018-01-26
16,30263.0,29960.0,202028.0,639149.0,31100.0,29357.0,29938.0,28397.0,1020192.0,2018-01-29
17,29903.0,29928.0,201520.0,636884.0,31028.0,29322.0,29788.0,28128.0,1016501.0,2018-01-30
18,29558.0,29956.0,202722.0,629808.0,30466.0,29289.0,29638.0,27874.0,1009311.0,2018-01-31
19,30101.0,29930.0,202041.0,632355.0,30760.0,29418.0,29952.0,28395.0,1012952.0,2018-02-01
20,30002.0,29946.0,201787.0,633528.0,30694.0,29556.0,30176.0,27997.0,1013686.0,2018-02-02
21,29349.0,29951.0,200144.0,623459.0,30299.0,29472.0,29996.0,27791.0,1000461.0,2018-02-05
22,28056.0,29967.0,192995.0,597013.0,29472.0,29193.0,29557.0,26790.0,963043.0,2018-02-06
23,28162.0,29970.0,193409.0,602270.0,29037.0,29356.0,29807.0,26727.0,968738.0,2018-02-07
24,28415.0,29949.0,196683.0,601178.0,28825.0,29139.0,29580.0,26673.0,970442.0,2018-02-08
25,27870.0,29972.0,193342.0,580434.0,28417.0,28954.0,29220.0,25944.0,944153.0,2018-02-09
26,27625.0,29993.0,192901.0,590948.0,28220.0,28955.0,29330.0,26367.0,954339.0,2018-02-13
27,27400.0,30012.0,191151.0,587308.0,28247.0,28770.0,29084.0,26282.0,948254.0,2018-02-14
28,27667.0,30014.0,191404.0,590543.0,28565.0,28583.0,29168.0,25938.0,951882.0,2018-02-15
29,27959.0,30021.0,193315.0,594223.0,28862.0,28516.0,29154.0,26066.0,958116.0,2018-02-16
30,28566.0,30016.0,196255.0,595032.0,28764.0,28498.0,29236.0,26234.0,962601.0,2018-02-19
31,28362.0,30009.0,197498.0,596569.0,28865.0,28574.0,29308.0,26354.0,965539.0,2018-02-20
32,28348.0,30026.0,197097.0,598186.0,28894.0,28663.0,29315.0,26281.0,966810.0,2018-02-21
33,28099.0,30040.0,195961.0,595234.0,29180.0,28549.0,29266.0,25890.0,962219.0,2018-02-22
34,28331.0,30056.0,198487.0,593374.0,28934.0,28503.0,29238.0,25946.0,962869.0,2018-02-23
35,28569.0,30056.0,200651.0,599520.0,29273.0,28517.0,29322.0,26275.0,972183.0,2018-02-26
36,28817.0,30067.0,200584.0,605263.0,29400.0,28574.0,29388.0,26378.0,978471.0,2018-02-27
37,28460.0,30070.0,198727.0,601381.0,29223.0,28526.0,29248.0,25951.0,971586.0,2018-02-28
38,28007.0,30072.0,196469.0,590988.0,28655.0,28344.0,29014.0,25710.0,957259.0,2018-03-01
39,27494.0,30033.0,195614.0,582658.0,28517.0,28384.0,28899.0,25686.0,947285.0,2018-03-02
40,27277.0,30100.0,193462.0,578129.0,28109.0,28203.0,28721.0,25499.0,939500.0,2018-03-05
41,27623.0,30084.0,194718.0,587551.0,28175.0,28391.0,28939.0,25883.0,951364.0,2018-03-06
42,27424.0,30095.0,195533.0,586783.0,28398.0,28287.0,28838.0,25818.0,951176.0,2018-03-07
43,27520.0,30079.0,195333.0,589694.0,28417.0,28446.0,28937.0,26117.0,954543.0,2018-03-08
44,27611.0,30081.0,193770.0,595558.0,28722.0,28540.0,29016.0,26322.0,959620.0,2018-03-09
45,28028.0,30086.0,193422.0,604696.0,29066.0,28581.0,29135.0,26500.0,969514.0,2018-03-12
46,28183.0,30079.0,193836.0,602028.0,29260.0,28489.0,28993.0,26473.0,967341.0,2018-03-13
47,28056.0,30081.0,195173.0,600289.0,29347.0,28661.0,29086.0,26563.0,967256.0,2018-03-14
48,28062.0,30088.0,197364.0,594061.0,29085.0,28522.0,28964.0,26401.0,962547.0,2018-03-15
49,27948.0,30102.0,198072.0,594587.0,29074.0,28513.0,28862.0,26396.0,963554.0,2018-03-16
50,27680.0,30109.0,195747.0,593334.0,28886.0,28379.0,28715.0,26414.0,959264.0,2018-03-19
51,27620.0,30109.0,196335.0,587875.0,28740.0,28531.0,28721.0,26408.0,954339.0,2018-03-20
52,27800.0,30116.0,197124.0,586378.0,28830.0,28412.0,28829.0,26088.0,953577.0,2018-03-22
53,26792.0,30147.0,195734.0,569718.0,28210.0,28289.0,28567.0,25715.0,933172.0,2018-03-23
54,26896.0,30147.0,194331.0,560701.0,27695.0,28369.0,28633.0,25357.0,922129.0,2018-03-26
55,27634.0,30130.0,195667.0,573681.0,28138.0,28617.0,28957.0,25686.0,938510.0,2018-03-27
56,27609.0,30135.0,196455.0,567899.0,28125.0,28595.0,28943.0,25753.0,933514.0,2018-03-28
57,27681.0,30123.0,197685.0,573236.0,28016.0,28871.0,29226.0,26560.0,941398.0,2018-03-29
58,27879.0,30112.0,197685.0,575784.0,28032.0,28713.0,29175.0,26408.0,943788.0,2018-03-30
59,27757.0,30114.0,197778.0,576431.0,28114.0,28779.0,29224.0,26434.0,944631.0,2018-04-02
60,27676.0,30163.0,198246.0,565028.0,27881.0,28633.0,29032.0,26059.0,932718.0,2018-04-03
61,27715.0,30158.0,198580.0,572630.0,28064.0,28761.0,29215.0,26426.0,941549.0,2018-04-04
62,28015.0,30123.0,198941.0,577967.0,27855.0,28853.0,29302.0,26724.0,947780.0,2018-04-05
63,27931.0,30114.0,197017.0,586136.0,28157.0,28829.0,29292.0,26796.0,954272.0,2018-04-06
64,28036.0,30128.0,198206.0,575743.0,27974.0,28835.0,29150.0,26616.0,944688.0,2018-04-09
65,28135.0,30140.0,199943.0,577644.0,27934.0,28860.0,28944.0,26551.0,948151.0,2018-04-10
66,28026.0,30158.0,198674.0,588158.0,28369.0,28983.0,28964.0,26720.0,958052.0,2018-04-11
67,27916.0,30156.0,199943.0,584478.0,28334.0,28978.0,29060.0,26653.0,955518.0,2018-04-12
68,28090.0,30160.0,198340.0,590665.0,28451.0,29007.0,29196.0,26545.0,960454.0,2018-04-13
69,28201.0,30149.0,197043.0,590260.0,28321.0,29056.0,29196.0,26698.0,958924.0,2018-04-16
70,28099.0,30147.0,197618.0,591231.0,28106.0,28992.0,29177.0,26720.0,960090.0,2018-04-17
71,28420.0,30163.0,199556.0,597094.0,28130.0,29047.0,29233.0,26988.0,968631.0,2018-04-18
72,28428.0,30144.0,199943.0,599965.0,28496.0,29077.0,29399.0,27030.0,972482.0,2018-04-19
73,28443.0,30084.0,200250.0,597013.0,28629.0,28902.0,29271.0,26711.0,969303.0,2018-04-20
74,28438.0,30081.0,201025.0,594830.0,28377.0,28888.0,29170.0,26578.0,967387.0,2018-04-23
75,28745.0,30088.0,201827.0,599480.0,28321.0,28973.0,29053.0,26713.0,973200.0,2018-04-24
76,28714.0,30077.0,201800.0,595396.0,28329.0,29046.0,29121.0,26862.0,969345.0,2018-04-25
77,28786.0,30070.0,202054.0,597216.0,28149.0,29098.0,29060.0,26934.0,971367.0,2018-04-26
78,28872.0,30086.0,202736.0,601381.0,28247.0,29058.0,29023.0,27194.0,976597.0,2018-04-27
79,28825.0,30142.0,202803.0,599601.0,28682.0,29083.0,29042.0,27635.0,975813.0,2018-05-01
80,28780.0,30123.0,201814.0,602149.0,28727.0,29068.0,28981.0,27921.0,977563.0,2018-05-02
81,28807.0,30126.0,203310.0,599116.0,27926.0,28796.0,28504.0,27797.0,974382.0,2018-05-07
82,28916.0,30107.0,204540.0,601138.0,27955.0,28773.0,28354.0,27977.0,977760.0,2018-05-08
83,28804.0,30112.0,202442.0,602513.0,28141.0,28716.0,28123.0,27930.0,976781.0,2018-05-09
84,28883.0,30109.0,203818.0,611045.0,28353.0,28857.0,28263.0,28281.0,987609.0,2018-05-10
85,29167.0,30112.0,204299.0,613593.0,28610.0,28831.0,28527.0,28330.0,991469.0,2018-05-11
86,29348.0,30098.0,204126.0,614442.0,28687.0,28863.0,28457.0,28249.0,992270.0,2018-05-14
87,29336.0,30084.0,202776.0,617272.0,28881.0,28887.0,28417.0,28162.0,993815.0,2018-05-15
88,29260.0,30079.0,201814.0,616383.0,28573.0,28813.0,28181.0,27858.0,990961.0,2018-05-16
89,29391.0,30063.0,203992.0,618162.0,28743.0,28783.0,28261.0,27768.0,995163.0,2018-05-17
90,29502.0,30065.0,204780.0,622206.0,28597.0,28878.0,28176.0,27795.0,999999.0,2018-05-18
91,29477.0,30074.0,205208.0,620952.0,28470.0,28886.0,27957.0,27851.0,998875.0,2018-05-21
92,29408.0,30084.0,205382.0,624834.0,28494.0,28899.0,28043.0,28108.0,1003252.0,2018-05-22
93,29211.0,30102.0,205128.0,623136.0,28578.0,28856.0,28085.0,28135.0,1001231.0,2018-05-23
94,28856.0,30105.0,204901.0,614725.0,28096.0,28519.0,27833.0,28056.0,991091.0,2018-05-24
95,28791.0,30119.0,204780.0,612501.0,28067.0,28572.0,27784.0,28026.0,988640.0,2018-05-25
96,28772.0,30123.0,204139.0,610722.0,28117.0,28581.0,27791.0,28096.0,986341.0,2018-05-28
97,28631.0,30149.0,204754.0,607850.0,27998.0,28409.0,27683.0,28026.0,983500.0,2018-05-29
